Time;input.current_ref_limited;input.dc_current_actual;output.control_angle;output.pi_controller_output;output.error;
0.363025;0.4;0.428672;0.255129;-0.032218;-0.0286724;
0.364025;0.4;0.381228;0.224844;0.157402;0.0187721;
0.365025;0.4;0.337023;0.195579;0.335311;0.0629769;
0.366025;0.4;0.361895;0.211969;0.236686;0.0381052;
0.367025;0.4;0.319153;0.182977;0.408782;0.0808470;
0.368025;0.4;0.326573;0.187804;0.380917;0.0734273;
0.369025;0.4;0.356252;0.207603;0.263247;0.0437483;
0.370025;0.4;0.325841;0.186928;0.386001;0.0741588;
0.371025;0.4;0.309121;0.174853;0.454811;0.0908793;
0.372025;0.4;0.383841;0.224929;0.156872;0.0161594;
0.373025;0.4;0.412788;0.243477;0.0409745;-0.0127879;
0.374025;0.4;0.373077;0.21797;0.199892;0.0269233;
0.375025;0.4;0.356356;0.206852;0.267795;0.0436438;
0.376025;0.4;0.385617;0.225845;0.151187;0.0143829;
0.377025;0.4;0.348205;0.201268;0.301429;0.0517951;
0.378025;0.4;0.329394;0.188273;0.37819;0.0706057;
0.379025;0.4;0.363462;0.210960;0.242844;0.0365376;
0.380025;0.4;0.335351;0.192031;0.356229;0.064649;
0.381025;0.4;0.306926;0.171807;0.471773;0.0930739;
0.382025;0.4;0.360432;0.208311;0.258957;0.0395682;
0.383025;0.4;0.376839;0.218942;0.193904;0.0231612;
0.384025;0.4;0.344861;0.197734;0.322526;0.0551392;
0.385025;0.4;0.361372;0.208520;0.257684;0.0386277;
0.386025;0.4;0.396067;0.230985;0.119188;0.00393257;
0.387025;0.4;0.365030;0.210828;0.243649;0.03497;
0.388025;0.4;0.331275;0.187964;0.379988;0.0687246;
0.389025;0.4;0.370151;0.213829;0.225318;0.0298494;
0.390025;0.4;0.345488;0.197363;0.324734;0.0545122;
0.391025;0.4;0.312674;0.174347;0.457644;0.0873262;
0.392025;0.4;0.356983;0.204570;0.281585;0.0430168;
0.393025;0.4;0.352281;0.201298;0.301247;0.0477195;
0.394025;0.4;0.313719;0.174476;0.456923;0.0862812;
0.395025;0.4;0.389902;0.225542;0.153069;0.0100983;
0.396025;0.4;0.432017;0.252509;-0.0157619;-0.0320166;
0.397025;0.4;0.407981;0.237271;0.0798964;-0.00798079;
0.398025;0.4;0.332529;0.187546;0.382416;0.0674706;
0.399025;0.4;0.374749;0.215631;0.214275;0.0252512;
0.400025;0.4;0.354684;0.202314;0.295155;0.0453159;
0.401025;0.4;0.326468;0.182839;0.409574;0.0735318;
0.402025;0.4;0.357819;0.203944;0.285354;0.0421808;
0.403025;0.4;0.348623;0.197657;0.322984;0.0513771;
0.404025;0.4;0.298879;0.162293;0.523608;0.101121;
