Time;input.control_angle_pu;output.upper_limit_pu;output.lower_limit_pu;output.limited_control_angle_pu;output.limit_active;
0.314025;0.168973;0.405777;0.0138465;0.168973;0.0;
0.315025;0.208500;0.405005;0.0138465;0.208500;0.0;
0.316025;0.220095;0.402690;0.0138465;0.220095;0.0;
0.317025;0.207229;0.402102;0.0138465;0.207229;0.0;
0.318025;0.198067;0.403081;0.0138465;0.198067;0.0;
0.319025;0.235512;0.403064;0.0138465;0.235512;0.0;
0.320025;0.231123;0.401028;0.0138465;0.231123;0.0;
0.321025;0.187115;0.401508;0.0138465;0.187115;0.0;
0.322025;0.211224;0.403644;0.0138465;0.211224;0.0;
0.323025;0.209007;0.402691;0.0138465;0.209007;0.0;
0.324025;0.169009;0.402857;0.0138465;0.169009;0.0;
0.325025;0.200112;0.404585;0.0138465;0.200112;0.0;
0.326025;0.205348;0.403279;0.0138465;0.205348;0.0;
0.327025;0.173862;0.402968;0.0138465;0.173862;0.0;
0.328025;0.208512;0.404554;0.0138465;0.208512;0.0;
0.329025;0.249257;0.402578;0.0138465;0.249257;0.0;
0.330025;0.249441;0.399892;0.0138465;0.249441;0.0;
0.331025;0.203605;0.400178;0.0138465;0.203605;0.0;
0.332025;0.208917;0.402814;0.0138465;0.208917;0.0;
0.333025;0.210073;0.402766;0.0138465;0.210073;0.0;
0.334025;0.165464;0.402677;0.0138465;0.165464;0.0;
0.335025;0.197004;0.404468;0.0138465;0.197004;0.0;
0.336025;0.203870;0.403365;0.0138465;0.203870;0.0;
0.337025;0.166933;0.402958;0.0138465;0.166933;0.0;
0.338025;0.190861;0.404799;0.0138465;0.190861;0.0;
0.339025;0.227591;0.403603;0.0138465;0.227591;0.0;
0.340025;0.232519;0.401201;0.0138465;0.232519;0.0;
0.341025;0.190885;0.401121;0.0138465;0.190885;0.0;
0.342025;0.216691;0.403073;0.0138465;0.216691;0.0;
0.343025;0.221687;0.402090;0.0138465;0.221687;0.0;
0.344025;0.180844;0.401780;0.0138465;0.180844;0.0;
0.345025;0.195792;0.403865;0.0138465;0.195792;0.0;
0.346025;0.204767;0.403335;0.0138465;0.204767;0.0;
0.347025;0.169622;0.402786;0.0138465;0.169622;0.0;
0.348025;0.187518;0.404548;0.0138465;0.187518;0.0;
0.349025;0.210822;0.403741;0.0138465;0.210822;0.0;
0.350025;0.208202;0.402231;0.0138465;0.208202;0.0;
0.351025;0.18111;0.402579;0.0138465;0.18111;0.0;
0.352025;0.223689;0.403349;0.0138465;0.223689;0.0;
0.353025;0.232792;0.401409;0.0138465;0.232792;0.0;
0.354025;0.197087;0.400907;0.0138465;0.197087;0.0;
0.355025;0.19527;0.403135;0.0138465;0.19527;0.0;
0.356025;0.206830;0.403254;0.0138465;0.206830;0.0;
0.357025;0.174387;0.402541;0.0138465;0.174387;0.0;
0.358025;0.189995;0.404223;0.0138465;0.189995;0.0;
0.359025;0.208397;0.403484;0.0138465;0.208397;0.0;
0.360025;0.191983;0.402318;0.0138465;0.191983;0.0;
0.361025;0.188328;0.403488;0.0138465;0.188328;0.0;
0.362025;0.241473;0.403118;0.0138465;0.241473;0.0;
0.363025;0.255129;0.400013;0.0138465;0.255129;0.0;
0.364025;0.224844;0.399313;0.0138465;0.224844;0.0;
0.365025;0.195579;0.401526;0.0138465;0.195579;0.0;
0.366025;0.211969;0.402830;0.0138465;0.211969;0.0;
0.367025;0.182977;0.402171;0.0138465;0.182977;0.0;
0.368025;0.187804;0.403807;0.0138465;0.187804;0.0;
0.369025;0.207603;0.403521;0.0138465;0.207603;0.0;
0.370025;0.186928;0.402293;0.0138465;0.186928;0.0;
0.371025;0.174853;0.403715;0.0138465;0.174853;0.0;
0.372025;0.224929;0.403849;0.0138465;0.224929;0.0;
0.373025;0.243477;0.400998;0.0138465;0.243477;0.0;
0.374025;0.21797;0.399942;0.0138465;0.21797;0.0;
0.375025;0.206852;0.401759;0.0138465;0.206852;0.0;
0.376025;0.225845;0.402203;0.0138465;0.225845;0.0;
0.377025;0.201268;0.401126;0.0138465;0.201268;0.0;
0.378025;0.188273;0.402778;0.0138465;0.188273;0.0;
0.379025;0.210960;0.403253;0.0138465;0.210960;0.0;
0.380025;0.192031;0.402018;0.0138465;0.192031;0.0;
0.381025;0.171807;0.403339;0.0138465;0.171807;0.0;
0.382025;0.208311;0.404027;0.0138465;0.208311;0.0;
0.383025;0.218942;0.402045;0.0138465;0.218942;0.0;
0.384025;0.197734;0.401459;0.0138465;0.197734;0.0;
0.385025;0.208520;0.402740;0.0138465;0.208520;0.0;
0.386025;0.230985;0.402057;0.0138465;0.230985;0.0;
0.387025;0.210828;0.400633;0.0138465;0.210828;0.0;
0.388025;0.187964;0.402139;0.0138465;0.187964;0.0;
0.389025;0.213829;0.403064;0.0138465;0.213829;0.0;
0.390025;0.197363;0.401750;0.0138465;0.197363;0.0;
0.391025;0.174347;0.402920;0.0138465;0.174347;0.0;
0.392025;0.204570;0.403781;0.0138465;0.204570;0.0;
0.393025;0.201298;0.402261;0.0138465;0.201298;0.0;
0.394025;0.174476;0.402555;0.0138465;0.174476;0.0;
0.395025;0.225542;0.403423;0.0138465;0.225542;0.0;
0.396025;0.252509;0.400781;0.0138465;0.252509;0.0;
0.397025;0.237271;0.399081;0.0138465;0.237271;0.0;
0.398025;0.187546;0.400394;0.0138465;0.187546;0.0;
0.399025;0.215631;0.402550;0.0138465;0.215631;0.0;
0.400025;0.202314;0.401639;0.0138465;0.202314;0.0;
0.401025;0.182839;0.402547;0.0138465;0.182839;0.0;
0.402025;0.203944;0.403775;0.0138465;0.203944;0.0;
0.403025;0.197657;0.402243;0.0138465;0.197657;0.0;
0.404025;0.162293;0.402750;0.0138465;0.162293;0.0;
0.405025;0.221237;0.403836;0.0138465;0.221237;0.0;
0.406025;0.252918;0.400952;0.0138465;0.252918;0.0;
0.407025;0.242636;0.398944;0.0138465;0.242636;0.0;
0.408025;0.194262;0.399936;0.0138465;0.194262;0.0;
0.409025;0.213781;0.402405;0.0138465;0.213781;0.0;
0.410025;0.204121;0.401708;0.0138465;0.204121;0.0;
0.411025;0.188794;0.402339;0.0138465;0.188794;0.0;
0.412025;0.210695;0.403393;0.0138465;0.210695;0.0;
0.413025;0.206192;0.401737;0.0138465;0.206192;0.0;
0.414025;0.164163;0.402150;0.0138465;0.164163;0.0;
0.415025;0.197558;0.404039;0.0138465;0.197558;0.0;
0.416025;0.216389;0.402478;0.0138465;0.216389;0.0;
0.417025;0.212375;0.401105;0.0138465;0.212375;0.0;
0.418025;0.201774;0.401765;0.0138465;0.201774;0.0;
0.419025;0.224738;0.402556;0.0138465;0.224738;0.0;
0.420025;0.219448;0.400779;0.0138465;0.219448;0.0;
0.421025;0.177024;0.401270;0.0138465;0.177024;0.0;
0.422025;0.207643;0.403049;0.0138465;0.207643;0.0;
